2026-05-26 17:59:35 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 17:59:35 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 17:59:35 | INFO | access | 请求进入 | method=GET | path=/ | remote_addr=127.0.0.1
2026-05-26 17:59:35 | INFO | access | 请求结束 | method=GET | path=/ | status=200
2026-05-26 17:59:35 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 17:59:35 | INFO | access | 请求进入 | method=GET | path=/static/js/index.js | remote_addr=127.0.0.1
2026-05-26 17:59:35 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 17:59:35 | INFO | access | 请求结束 | method=GET | path=/static/js/index.js | status=304
2026-05-26 17:59:35 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 17:59:35 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 17:59:36 | INFO | access | 请求进入 | method=GET | path=/tools | remote_addr=127.0.0.1
2026-05-26 17:59:36 | INFO | access | 请求结束 | method=GET | path=/tools | status=200
2026-05-26 17:59:36 | INFO | access | 请求进入 | method=GET | path=/static/css/tools.css | remote_addr=127.0.0.1
2026-05-26 17:59:36 | INFO | access | 请求结束 | method=GET | path=/static/css/tools.css | status=304
2026-05-26 17:59:36 | INFO | access | 请求进入 | method=GET | path=/static/js/tools.js | remote_addr=127.0.0.1
2026-05-26 17:59:36 | INFO | access | 请求结束 | method=GET | path=/static/js/tools.js | status=304
2026-05-26 17:59:36 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 17:59:36 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:01:52 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:01:52 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:01:53 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 18:01:53 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 18:01:53 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:01:53 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:01:57 | INFO | access | 请求进入 | method=GET | path=/fastgpt | remote_addr=127.0.0.1
2026-05-26 18:01:57 | INFO | access | 请求结束 | method=GET | path=/fastgpt | status=200
2026-05-26 18:01:57 | INFO | access | 请求进入 | method=GET | path=/static/css/fastgpt.css | remote_addr=127.0.0.1
2026-05-26 18:01:57 | INFO | access | 请求结束 | method=GET | path=/static/css/fastgpt.css | status=304
2026-05-26 18:01:57 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:01:57 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:01:57 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:01:57 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:01:58 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:01:58 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:01:58 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:01:58 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:01:58 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:01:58 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:01:59 | INFO | access | 请求进入 | method=GET | path=/tools | remote_addr=127.0.0.1
2026-05-26 18:01:59 | INFO | access | 请求结束 | method=GET | path=/tools | status=200
2026-05-26 18:01:59 | INFO | access | 请求进入 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | remote_addr=127.0.0.1
2026-05-26 18:01:59 | INFO | access | 请求进入 | method=GET | path=/static/css/tools.css | remote_addr=127.0.0.1
2026-05-26 18:01:59 | INFO | access | 请求进入 | method=GET | path=/static/js/tools.js | remote_addr=127.0.0.1
2026-05-26 18:01:59 | INFO | access | 请求结束 | method=GET | path=/static/css/tools.css | status=304
2026-05-26 18:01:59 | INFO | access | 请求结束 | method=GET | path=/.well-known/appspecific/com.chrome.devtools.json | status=500
2026-05-26 18:01:59 | INFO | access | 请求结束 | method=GET | path=/static/js/tools.js | status=304
2026-05-26 18:01:59 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:01:59 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
